asin,question,item_name,hours_diff,label
B01N0C1QIA,how long can you use one if you are not running etc?,"ZenToes 6 Pack Gel Toe Cap and Protector - Cushions and Protects to Provide Relief from Missing or Ingrown Toenails, Corns, Blisters, Hammer Toes (Small, White)",-1,Pre
B071XCTKLT,Will these fit a blade inductrix pro??,BETAFPV 16pcs 31mm 3-Blade Props 0.8mm Sharft Hole Tri-Blade Propeller Transparent Pink and Blue with Removal Tool for Tiny Whoop Quad,-65,Pre
B07JPDZY66,Does this case fit the MacBook Air 13.3â€?,"SUPCASE [Unicorn Beetle Series] Case for New MacBook Air 13 Inch 2018 Release, Slim Rubberized TPU Bumper Cover for 2018 MacBook Air 13 Inch A1932 with Touch ID and Retina Display (Black/Frost)",-6529,Pre
B07BMVCCBC,How do I put the screen protector on?,"TAURI [3-Pack] Screen Protector for Galaxy J7 2018, [Alignment Frame] Easy Install [Case Friendly] Tempered Glass for Samsung Galaxy J7 Aero / J7 Top / J7 Eon / J7 Aura",161,Post
B0099AT6UM,Will this work as a replacement for a bradford white 48 gal model number mitw50l6cx12,"Fasco A067 3.3"" Frame Shaded Pole OEM Replacement Specific Purpose Blower with Ball Bearing, 1/20HP, 3,000 rpm, 115V, 60 Hz, 2.6 amps",-2,Pre
B00GZJOITO,Can the inner ceramic pot be used in the oven?,"Elite Platinum MST-900R By Maxi-Matic 8.5 Quart Stainless Steel Slow Cooker,Dishwasher-Safe with Tempered Glass Lid, Cool- Touch Handles, Removable Stoneware Pot, Red",9600,Post
B07DF9YHS3,Did you guys predrill?  when i do not some of the nails actually press into the felt creating a high spot.   others actually bent in the plastic,55pcs Round Felt Nail-on Pad for Wooden Furniture Leg (1.1 inch Brown),74,Post
B07JZ6DHCS,How to switch the camara upright ?,"Kid Smartwatch,AGPTEK Children Smart Watch Multifunction (Alarm Clock,Video Recording,Game,Stopwatch) (Pink Kid Smart Watch)",622,Post
B0168Y6N2K,Pre-cut dispensing hole is 0.30.  Obviously not 0.30 inches.  What size?,"Pinnacle Mercantile Small 1 ounce 12-Pack Plastic Squeeze Bottles with Red Tip Caps Great for Travel, Arts, Crafts, Vape Juice, Oil, Glue Empty",-1,Pre
B000JZWL30,Is this product suppose to make me nauseous or sick to my stomach? Is it some=etching that will abate with time or should I return this product?,"Tropical Oasis Mega Plus - Liquid Multivitamin and Mineral Supplement â€“ Includes 85 Vitamins & Minerals, 20 Amino Acids + CoQ10, Grape Seed Extract & Organic Aloe Vera - 32oz, 32 Servings",408,Post
B07D794MLZ,Is this seat approved for airplane travel?,"Graco TurboBooster TakeAlong Highback Booster, Sylvan",353,Post
B072KR1CYS,Is the bag itself 8â€ tall or is that the height including the handles?,"Road 5.25x3.25x8 Inches 50pcs Stripes Kraft Paper Bags, Retail Bag, Merchandise Bag, Gift Bag, Party Bag (Black)",-23,Pre
B07CWWYS6Q,Does this computer have a wireless adapter or do I need to buy that separately?,HP Z820 Workstation Intel Xeon 16 Core 2.6GHz 128GB RAM 500GB Solid State Drive + 2TB Hard Drive Dual NVIDIA Quadro FX 3800 Graphics CD/DVDRW Windows 10 Pro 64-bit (Renewed),17,Pre
B07G89L1PQ,Where does this ship from?,IDK Google It Funny Search Engine Humor T-Shirt,309,Post
B00CJD5JLG,"I bought this for my daughter and just set it up today, and I did not recieve the red door. Is it possible to get the door sent to me?",Little Tikes Deluxe Home and Garden Playhouse,216,Post
B06XG5RNZ7,I bought one it was very good. When will this product be available again?,"Wireless Shower Bluetooth Speaker with Suction Cup | Crystal Clear Sound, Built-in Mic & Rechargeable Battery | Portable & Waterproof Silicone Speakerphone & Hanging Cord (Black)",904,Post
B01AUBYMK2,"I live at high altitude and puncture the bottom of the throw away K cups, as per owners manual.  What do you do if you are using the refillable cups?","6-Pack Reusable Gold Plated Mesh Coffee Filters For Keurig 2.0 and 1.0 Brewers Fits K200/K250, K300/K350, K400/K450/K460, K500/K550/K560",-23,Pre
B07KG5F32Y,Where does it ask if you want Mens or women she when ordering?,"BERTER Compression Socks Women Men 20-30mmHg - Graduated Athletic Socks Flight Travel, Nursing, Pregnancy, Varicose Veins, Shin Splints, Running",-1,Pre
B000LBLZQQ,The charger that comes with it does it have the extra battery charging on the charger or does it have a single battery that comes with the flashlight,"Streamlight 75712 Stinger C4 LED Rechargeable Flashlight with NiCad Battery and 12V DC Charger, Black - 425 Lumens",-121,Pre
B07JNQGYKG,Does this fit a 2010 ml350?,Xuanhemen 8Pcs/Set Chrome Door Handle Covers Trim Replacement Mercedes-Benz B/C/E/GLK/ML 2008-2015,-576,Pre
B07CZ81CJS,What type of adjustment  does it have? Velcro? Metal clasp?,Smith & Wesson New S&W All Black Twill HAT Cap with Military OD Green Logo and Lettering,-1,Pre
B07BQJRSDS,Why when speaker is plugged in all the time why does my dot not respond after overnight. need to hit power on speaker again and dot needs to reboot,"iLuv Aud Dock, Amazon Echo Dot(2nd Generation) Docking Audio Speaker with Powerful Dynamic Digital Sound, Portability, Plug & Play, Aux-in Port, Rechargeable Battery, and Micro USB Cable (Black)",1064,Post
B01EMHIGHK,How do i get ahold of the company? bought as a christmas gift. daughter loved it but the water no longer dances. itâ€™s only been used since christmas..,NAXA Electronics NHS-2009 Dancing Water Light Tower Speaker System with Bluetooth,862,Post
B07DB2N8CC,Are this real silver?,2Pcs Round Rubber Spacer Charms 925 Sterling Silver Stopper Bead Charms for 3mm Snake Chain Bracelet (Shiny Silver),-5,Pre
B07KC1M9SB,"I ordered this a few days ago and just noticed that it says they are round diamonds, is there any way to get the square diamonds instead?",Personalized Custom Photo 5D DIY Diamond Painting Private Custom Photo Custom Make Your Own Diamond Painting Full Drill Diamond Rhinestone Embroidery Decoration Gifts (60Ã—60cm),49,Post
B07F1WLLH1,Do you engrave tags?,Pet Care Preferred Cleveland Browns Bone ID Tag,-1,Pre
B07DD36M5R,Could someone place wire tape/electrical tape over the area where you control/power on the earbuds and see if it still works?,"Rowkin Ascent Charge True Wireless Earbuds Headphones: 50+ Hours, Bluetooth 5 Smallest Earphones & Qi Charging Case. Deep Bass Headset, Mic & Noise Reduction for Android Samsung & iPhone (Black)",-314,Pre
B00OL1CIOA,For the $32 will all of the parts be included? I ordered same thing with same description and only received one plastic bearing.,"GE Dryer Bearing Kit 1 Bearing WE3M26, 2 Dryer Slides WE1M481 / WE1M1067, 2 Dryer Slides WE1M333 / WE1M504, 1 Belt WE12M29, 1 Felt WE9M30 / WE09X20441",125,Post
B0761XYTZN,Mine is in safe mode and google play store won't load. How can i get it out of safe mode?,TechComm Hercules 2GB Android 3D VR Headset with Wi-Fi Bluetooth HDMI,2543,Post
B01N1ZEDST,is this safe to use in my child's humidifier?,"Natural Riches Aromatherapy Good Night Sleep Blend, Calming Essential Oils -30ml Pure and Natural Therapeutic Grade, Relaxation, Stress, Anxiety Relief - 30ml",-1,Pre
B0772YYRC1,"Will the ac adapter that came with my western digital work?  it reads input: 100-240v, 0.5a max., 50-60 hz, output: 12v 1.5a",180 Watt Stereo Hi-Fi Sound Amplifier for Arcade and MP3 by Atomic Market,54,Post
B00ANPEZP8,When downloading software from amScope it asks for the series. So what series is this model?,AmScope M150C-E-A 40X-1000X LED Cordless All-Metal Framework Full-Glass Optical Lens Student Compound Microscope with Coarse &amp; Fine Focusing + Digital Camera USB Imager,2365,Post
B00FFJIGD4,Q Hi i would like to purchase slappy the vintriloquist dummy is it alive does it talk when you say something,"Slappy Dummy, Ventriloquist Doll â€œStar of Goosebumpsâ€, Famous Ventriloquist Dummy. Has glow in the dark eyes. BONUS E-Book 'How to Be a Ventriloquist'",-236,Pre
B07BWB3B6T,Are they white or yellow,Kumar Bros USA New LH & RH Upper Hood Decal Set Replaces AM117528 Fits John Deere GT262,-18,Pre
B07HCH24GL,Where do I cut the strip? There is no instructions anywhere.. a picture would be helpful.,"ELlight LED Strip Lights with Music Sync, 32.8ft Dream Color LED Lights, Color Changing LED Strip Lights with Remote for Home Lighting Kitchen Bed Flexible Strip Lights for Bar Home Decoration",442,Post
B009YSYCZS,Can I use lifefactory glass bottle with this pump?,Philips Avent Manual Comfort Breast Pump,-47,Pre
B001J8PX68,Do you need to charge before use?,Power Max Maintenence-Free Battery YTZ14S GTZ14S,5,Pre
B07F85MGJ8,What is the return and warranty policy,"Fintie Keyboard Case for iPad 9.7 2018 with Built-in Pencil Holder, [SlimShell] Soft TPU Back Protective Cover w/Magnetically Detachable Wireless Bluetooth Keyboard for iPad 6th Gen, Rose Gold",-2,Pre
B07739JYD8,Will fox trot be available again?,"Paradise Galleries Reborn Toddler Fox Trot, 22 inch Realistic Girl Baby Doll in GentleTouch Vinyl, 7-Piece Set",2782,Post
B071J5J8VF,Is there some form of surge protection? I believe my pc via dp to hdmi might have fried the port on my tv?,Univivi Switch 4K 5 Port 5x1 Switcher Splitter Box Support 4Kx2K Ultra HD 3D with Remote Control and Power Adapter,-6,Pre
B00KO5RH0W,How can i get a custom deadpool one made?,BASTION Laser Engraved Rear Cover Slide Back Plate for Smith & Wesson M&P 9/40 Shield ONLY - USA Flag,-74,Pre
B07JJBKTQQ,What is the best way to clean this crystal ball?,"Moi Doi Crystal Ball, Crystal Clear Ball, K9 Crystal Suncatchers Ball with Stand for Photography/Meditation/Divination or Wedding/Home/Office Decoration",-1,Pre
B072M2234W,Is the chocolate version with monk fruit extract as an ingredient any good?,HEYDAY | Cold-Brew Coffee | Chocolate | Fair Trade Certified | Non-GMO | 11oz (12 Count),-1907,Pre
B077G6ZP1R,How many rods are in the package?,"Mainstays White Sash Rod, 5/16"" Diameter, 21"" - 38"" Length",-1,Pre
B004LQ1RQU,What are the dimensions for the Queen size mattress?,"Signature Sleep 13"" Hybrid Coil Mattress, Queen, White",37,Post
B073PC31H9,Mine does not lay flat. I just got it couple of days ago. Any solutions or ideas?,"Safavieh Braided Collection BRD210B Hand-woven Bohemian Cotton Area Rug, 4' x 6' Oval, Ivory/Multi",231,Post
B07G8Z5M6N,Does the painting come with the frame as shown?,"Plaid 4390 Mountain Creek Cabin Paint by Number Kit, 16"" X 20"", Multi",157,Post
B07GCNS75G,What's the purpose of the red wire on the rear cam?,"Aoile Dash Cam Dual Lens Car DVR Vehicle Camera Full HD 1080P 3"" IPS Front+Rear Night Vision Video Recorder G-Sensor Parking Monitor",2096,Post
B0794H67JP,Does  this radio scan through channels,"Cobra HHRT50 Road Trip Cb Radio - Emergency Radio, Travel Essentials, 2-Way Handheld Black Radio with Rooftop Magnet Mount Antenna, NOAA Channels, Dual Watch & 40 Channel Access",-53,Pre
B07FQKKCMN,What is your return policy?,"Bardot Women's Midnight LACE Dress, Black, Extra Large",-9,Pre
B07DMG3BMH,Does it have a cross strap on the shoulder straps,"Grizzly Peak Dri-Tech Waterproof Dry Duffle Bag, IP 65 Lightweight Roll-Top Dry Bag with Backpacking Shoulder Straps & Pockets, Protect Personal Belongings for Camping, Outdoor Activities, & Gym Usage",13,Pre
B077T23HPC,Are these something you can play with or are they just for decoration??,Disney Princess Light up Bowling Set,-2,Pre
B00GNK6ZSM,"If i purchased the Surfox G , will i need to purchase neutralizer as well?",Walter 54A067 Surfox-G PH Neutral Weld Cleaning Electrolyte - Weld Removing Solution. Metal Cleaning Solutions,449,Post
B07KL8V92Q,We have roaches in living room. Is it necessary to have two in one room?,Zernok Brison Swel,64,Post
B00INR388I,Can this phone be mounted on kitchen wall phone jack?,Future Call FC-1007 Picture Care Phone with 40dB,-865,Pre
B00650N8NU,I got a few balls back in july. just inflated one for a family vacation. leak along seam. wht is best way to fix a brand new ball please?,Mikasa Sports Intermediate Size 3 Water Polo Ball,24575,Post
B07C2KBVPL,What is the HI Temperature. 400 or 450,Replacement Digital Control Board for Pit Boss Wood Pellet Grills,64,Post
B00G9F53UW,"dimentions for shipping?, please",Tippmann US Army Project Salvo Paintball Gun SWAT Package - Tan,-155,Pre
B075MFDQFY,How do you make the lights flash with the music? I cannot get they function to work.,"wsiiroon Car LED Strip Lightï¼Œ4pcs 48 LED Multicolor Music Car Interior Lights Under Dash Lighting Kit with Sound Active Function and Wireless Remote Control, Car Charger Included, DC 12V",510,Post
B07L7Q65N4,I need to give the name to engrave,QM - Chevron Print Bone Pet Id Tag â€“ Personalised Dog Name tag â€“ Dog Identification tag â€“ Gifts for Dogs â€“ Personalized Dog ID tag - P08,0,Pre
B0007X749U,Is this good for men?,Redken All Soft Shampoo For Dry Brittle Hair 33.8 oz,-15,Pre
B00FRIJKOW,I did not receive both rings in the description. Missing the band. Can it be sent to me or do I need to return?,"Platinum-Plated Sterling Silver Antique Ring set with Asscher-Cut Swarovski Zirconia, Size 7",64,Post
B07LCWZLRX,Need customization to be:  laurie & willett 2018.     is this doable?  it wonâ€™t allow me to type in enough characters on the form.,NEONBLOND Custom Family Ornament Park City Mountain Ski Resort - Utah Ski Resort Personalized Name,-46,Pre
B07L69PP2C,Are these compatible with galaxy s9,"USB Type C Cable, Capkit 5 Pack (3ft 3ft 6ft 6ft 10ft) Nylon Braided USB C Cable Extra Long Fast Charger for Samsung Galaxy S9 S8 Plus Note 8,Moto Z Z2,LG V30 G6,Google Pixel and More-Black&Blue",-1,Pre
B00ISAPPLI,For how long I can take this pills?,Dr Tobias Colon 14 Day Quick Cleanse - Supports Detox & Increased Energy Levels (28 Capsules),3901,Post
B019FZ937Q,"""Is """"eiko tt26/27 2700k 12f4 bulb"""" replaceable by this one?""","EiKO 49265 Model TT26/27 Triple-Tube Compact Fluorescent Light Bulb (Pack of 2), 26 Watts, GX24q-3 Base, T-4 Bulb, 5.2""/132mm MOL, 2.2mg Mercury Content, Solid HG Form, 1800 Approx Initial Lumens",-46,Pre
B018AU4DAY,What color are the grommets on the Fresh Green curtains? Are they shiny chrome or a brushed nickel?,"NICETOWN Glass Door Curtains for Window - Wide Thermal Curtain Panels, Sliding Door Drapes, Extra Wide Curtains (Fresh Green, 100 inches Wide x 84 inches Long)",-1758,Pre
B072JYXGX3,will this fit a 2019  4 runner sr5 premium,"TOYOTA PT278-89170 Cross Bar Kit, 1 Pack",-1,Pre
B07HHM6SSJ,How long does the strap extende to?,My EZ Fly Desk Foot Hammock - Comfortable Foot Hammock Made with Thick Memory Foam and Stable Base to Relax Your Legs. Great Office and Travel Accessory,-3,Pre
B07FT769KH,how long it takes to charg,"Men Women Rechargeable Electric Heated Socks Battery Heat Sox Kit,Sports Outdoor Winter Warm Thermal Insulate Socks,Footwarmer for Climb Hike Ski Hunt,3 Heat,Temparature Adjustable",-8946,Pre
B07GD2CQNY,"I do not see amps listed here, or on the unit.  What is the current draw?","VOTOER 1/4HP Rotary Tool Flex Shaft Hanging Grinder Carver Electric Multi-function Metalworking Tools Repair Kit, Foot Pedal Control, 780W Strong Power, Metal Flexible Shaft, 23000 RPM",164,Post
B0030MYGXW,Can I mix it with bleach?,"Ahh-Some- Hot Tub Cleaner | Clean Pipes & Jets Gunk Build Up | Clear & Soften Water For Jacuzzi, Jetted Tub, or Swim Spa | Top Water Clarifier (2oz.)",6622,Post
B00BNB621Q,When will they be back in stock,Winnie the Pooh Baby Shower Plastic Tablecover,96,Post
B00BIE996S,Will this work for a 1999 pata hard drive?,"AGPtek SATA/PATA/IDE Drive to USB 2.0 Adapter Converter Cable for Hard Drive Disk HDD 2.5"" 3.5"" with External AC Power Adapter",-1,Pre
B00SAYCXWG,WHats the life expectancy of these? Anyone own them for well over a year?,"HyperX Cloud II - Gaming Headset, 7.1 Surround Sound, Memory Foam Ear Pads, Durable Aluminum Frame, Detachable Microphone, Works with PC, PS4, Xbox One - Red",-52,Pre
B017OU0HBA,"Iâ€™m 5â€™9 in height and weight around 150 pounds. Iâ€™m choosing between large and x-large, but canâ€™t really decided. Would the x-large be too much on me?",WOTOGOLD Animal Cosplay Costume Lion Unisex Adult Pajamas Orange,-4,Pre
B004U2JN70,Is this product sulfa based?,"Altitude Rx OxyBoost Complex. Altitude Sickness Relief for Ski or Mountain Trips with Vitamin C, Alpha Lipoic Acid and Rhodiola (120 Vegetarian Caps)â€¦",1,Pre
B00IVS9OVE,Are these fake? They are very flimsy and the printing is not centered.,"Set of Five New Ultra-Pro Deck Boxes (Dark Colors Incl. Black, Blue, Brown, Green, and Red) for Magic/Pokemon/YuGiOh Cards",73,Post
B00MMP7XEW,Are these speakers magnetically shielded? Thanks.,"Yamaha NX-50 Premium Computer Speakers,Black",120,Post
B071G4CQSR,Charge interruption recovery is very pool in this unit. Tested several times. Seriously considering returning. Has anyone else seen the same issue?,"BigBlue 28W Solar Charger with Digital Ammeter, 2USB(5V/4A Max Overall), Portable Waterproof Solar Panels Phone Charger Compatible with iPhone 11/Xs/XR/X/8, iPad, Samsung Galaxy, LG, Google Pixel etc.",385,Post
B008KPHNHU,Does this have connectors for 4 batteries included or do you buy connectors separately?,"Pulsetech Quad Link, Black",-3,Pre
B001JEPX8K,Do you have this in reverse with light switch on left ?,"TayMac 2400W Paintable Combo Duplex Toggle Switch Wall Plate, White, 2-Gang",95,Post
B00838BNK2,graco snugride 35,Baby Trend Snap-N-Go EX Universal Infant Car Seat Carrier,-1,Pre
B07H8JC2F7,Does it come with a Santa hat?,Gremlins NECA 7â€ Scale Action Figure - Ultimate,2,Pre
B07DVLZQMY,Can i clip carabiniere onto an eye hook from ceiling?,"PEXFT Bodyweight Resistance Trainer Kit - Outdoor and Indoor, Easy and Quick to Train Indoors Without Installing Door Stop",-4,Pre
B00EAJAMOG,Does it fit in a back pocket?,M&F Western Buffalo Nickel Rodeo Wallet Wallet Medium Distressed Brown One Size,1,Pre
B00WD017FW,Are they flat head or Phillips head screws??,"Cat 6 Ethernet Cable 50 ft with Clips- Faster Than Cat5e/Cat5 Flat Internet Network LAN Patch Cordâ€“ Cat6 High Speed Computer RJ45 Wires with Snagless Rj45 Connectors for Router, Modem â€“ 50 feet Black",1,Pre
B07JL1NJ2Z,So there are 2 photos.  Is it the one with 3 buttons or 4 buttons?,"TurningMax Keyless Entry Remote Cases Smart Key Fob Cover with Keychain Full Protection Soft TPU Holder Shell for Mercedes Benz E Class, 2018 up S Class,2017 2018 W213,3/4-Buttons-Silver",-16,Pre
